URL: /
Timestamp: Mon Jul 18 2022 14:16:44 GMT-0400 (Eastern Daylight Time)

URL: /documentation.html
Timestamp: Mon Jul 18 2022 15:20:22 GMT-0400 (Eastern Daylight Time)

URL: /favicon.ico
Timestamp: Mon Jul 18 2022 15:20:23 GMT-0400 (Eastern Daylight Time)

URL: /
Timestamp: Mon Jul 18 2022 15:36:15 GMT-0400 (Eastern Daylight Time)

URL: /
Timestamp: Mon Jul 18 2022 15:43:44 GMT-0400 (Eastern Daylight Time)

::1 - - [20/Jul/2022:20:12:18 +0000] "GET /documentation.html HTTP/1.1" 200 1461 "-" "PostmanRuntime/7.29.2"
::1 - - [20/Jul/2022:20:14:23 +0000] "POST /books/a_is_for_asshole HTTP/1.1" 404 162 "-" "PostmanRuntime/7.29.2"
::1 - - [20/Jul/2022:20:15:22 +0000] "GET /books/ HTTP/1.1" 200 497 "-" "PostmanRuntime/7.29.2"
::1 - - [20/Jul/2022:20:16:33 +0000] "GET /books/think%again HTTP/1.1" 500 15 "-" "PostmanRuntime/7.29.2"
::1 - - [20/Jul/2022:20:17:04 +0000] "GET /books/think%20again HTTP/1.1" 200 85 "-" "PostmanRuntime/7.29.2"
::ffff:192.168.1.1 - - [20/Jul/2022:21:27:08 +0000] "GET / HTTP/1.1" 200 18 "-" "-"
::ffff:192.168.1.1 - - [20/Jul/2022:21:49:17 +0000] "GET / HTTP/1.1" 200 18 "-" "-"
::1 - - [21/Jul/2022:01:44:28 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"
::ffff:192.168.1.1 - - [21/Jul/2022:13:30:16 +0000] "GET / HTTP/1.1" 200 18 "-" "-"
::ffff:192.168.1.1 - - [21/Jul/2022:13:41:08 +0000] "GET / HTTP/1.1" 200 18 "-" "-"
::ffff:192.168.1.1 - - [21/Jul/2022:15:13:58 +0000] "GET / HTTP/1.1" 200 18 "-" "-"
::ffff:192.168.1.1 - - [21/Jul/2022:15:19:45 +0000] "GET / HTTP/1.1" 200 18 "-" "-"
::ffff:192.168.1.1 - - [21/Jul/2022:15:30:30 +0000] "GET / HTTP/1.1" 200 18 "-" "-"
::ffff:192.168.1.1 - - [21/Jul/2022:16:45:25 +0000] "GET / HTTP/1.1" 200 18 "-" "-"
::ffff:192.168.1.1 - - [21/Jul/2022:17:48:12 +0000] "GET / HTTP/1.1" 200 18 "-" "-"
::ffff:192.168.1.1 - - [21/Jul/2022:17:51:07 +0000] "GET / HTTP/1.1" 200 18 "-" "-"
::ffff:192.168.1.1 - - [21/Jul/2022:18:10:34 +0000] "GET / HTTP/1.1" 200 18 "-" "-"
::ffff:192.168.1.1 - - [21/Jul/2022:20:48:11 +0000] "GET / HTTP/1.1" 200 18 "-" "-"
::1 - - [26/Jul/2022:13:41:09 +0000] "GET /users HTTP/1.1" 201 659 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:43:05 +0000] "GET /books/:noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:43:56 +0000] "GET /books/:business%20and%20money HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:44:09 +0000] "GET /books/:philosophy HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:44:28 +0000] "POST /books/:philosophy HTTP/1.1" 404 157 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:44:55 +0000] "GET /books/ HTTP/1.1" 201 3357 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:45:12 +0000] "GET /books/:nonfiction HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:46:41 +0000] "GET /books/:nonfiction HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:46:48 +0000] "GET /books/genre/:nonfiction HTTP/1.1" 404 162 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:47:19 +0000] "GET /books/genre/:nonfiction HTTP/1.1" 404 162 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:47:20 +0000] "GET /books/genre/:nonfiction HTTP/1.1" 404 162 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:47:21 +0000] "GET /books/genre/:nonfiction HTTP/1.1" 404 162 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:49:07 +0000] "GET /books/genre/:nonfiction HTTP/1.1" 404 162 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:49:39 +0000] "GET /books/ HTTP/1.1" 201 3357 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:50:17 +0000] "GET /books/author:adam%20grant HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:50:43 +0000] "GET /books/author/:adam%20grant HTTP/1.1" 404 165 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:50:45 +0000] "GET /books/author/:adam%20grant HTTP/1.1" 404 165 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:50:45 +0000] "GET /books/author/:adam%20grant HTTP/1.1" 404 165 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:50:55 +0000] "GET /books/author/:adam%20grant HTTP/1.1" 404 165 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:51:46 +0000] "GET /books/author/:adam%20grant HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:53:49 +0000] "GET /books/:noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:54:05 +0000] "GET /books/:noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:54:06 +0000] "GET /books/:noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:54:07 +0000] "GET /books/:noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:54:07 +0000] "GET /books/:noise HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:55:09 +0000] "GET /books/ HTTP/1.1" 201 3357 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:55:37 +0000] "GET /books/:skin%20in%20the%20game HTTP/1.1" 200 312 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:58:23 +0000] "GET /books/genre/:nonfiction HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:58:38 +0000] "GET /books/genre/:nonfiction HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:58:38 +0000] "GET /books/genre/:nonfiction HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:58:39 +0000] "GET /books/genre/:nonfiction HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:58:39 +0000] "GET /books/genre/:nonfiction HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:58:40 +0000] "GET /books/genre/:nonfiction HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:13:58:41 +0000] "GET /books/genre/:nonfiction HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:14:02:54 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:14:04:52 +0000] "POST /users HTTP/1.1" 400 24 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:14:05:58 +0000] "GET /users HTTP/1.1" 201 659 "-" "PostmanRuntime/7.29.2"
::1 - - [26/Jul/2022:14:06:16 +0000] "PUT /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.29.2"
